Component Report,,,,,,,,
Total Components:  1166,,,,,,,,
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
C1,CC_C1206_47UF,47uF,,C1206,2019.66,2460.58,270,YES
C2,CC_C0805_10UF,10uF,,C0805,1929.06,2433.52,270,YES
C3,CC_C1206_47UF,47uF,,C1206,1926.24,1347.25,270,YES
C4,CC_C0201_100NF,100nF,,C0201,-567,1248,90,NO
C5,CC_C0805_10UF,10uF,,C0805,1842.04,1331.38,270,YES
C6,CC_C1206_1NF,1nF,,C1206,1824.5,274.23,270,YES
C7,CC_C0201_100NF,100nF,,C0201,1811.14,2488.67,0,YES
C8,CC_C1210_100UF,100uF,,C1210,1775.82,811.77,180,YES
C9,CC_C1206_47UF,47uF,,C1206,1760.95,2062.45,0,YES
C10,CC_C1206_47UF,47uF,,C1206,1752.22,2732.96,0,YES
C11,CC_C0402_100NF,100nF,,C0402,1743.08,695.64,270,YES
C12,CC_C0805_10UF,10uF,,C0805,1735.98,2148.16,0,YES
C13,CC_C0805_10UF,10uF,,C0805,1725.27,2646.2,0,YES
C14,CC_C1206_47UF,47uF,,C1206,1714.63,1625.46,0,YES
C15,CC_C0603_2.2UF,2.2uF,,C0603,1701.01,2521.65,90,YES
C16,CC_C1206_47UF,47uF,,C1206,1686.68,957.58,0,YES
C17,CC_C0805_10UF,10uF,,C0805,1656.49,1046.02,0,YES
C18,CC_C0805_10UF,10uF,,C0805,1640.54,1542.03,0,YES
C19,CC_C0402_1UF,1uF,,C0402,1633,844,270,YES
C20,CC_C0603_2.2UF,2.2uF,,C0603,1618.33,1414.16,90,YES
C21,CC_C0805_10UF,10uF,,C0805,1813,480,90,YES
C22,CC_C0805_10UF,10uF,,C0805,1584.73,2146.33,180,YES
C23,CC_C0805_10UF,10uF,,C0805,1581.96,2646.03,180,YES
C24,CC_C1206_47UF,47uF,,C1206,1561.01,2062.13,180,YES
C25,CC_C0603_2.2UF,2.2uF,,C0603,1552.01,2502.69,180,YES
C26,CC_C0603_2.2UF,2.2uF,,C0603,1552.01,2417.13,180,YES
C27,CC_C0603_2.2UF,2.2uF,,C0603,1552.01,2359.69,180,YES
C28,CC_C0603_2.2UF,2.2uF,,C0603,1552.01,2303.69,180,YES
C29,CC_C0603_2.2UF,2.2uF,,C0603,1552.01,2244.69,180,YES
