Item,Quantity,Reference,ASSY,Value,Rating,PCB Footprint,PN,Part Type,Manufacturer,Manufacturer Part Number,Description,Temperature
DNP-1,1,R186,DNP,470R,5%,R0402,301010013,RES,YAGEO,RC0402JR-07470RL,SMD RES 470R-5%-1/16W;0402,-55°C to 155°C
DNP-2,2,"R25,R30",DNP,5.1K,5%,R0402,301010017,RES,YAGEO,RC0402JR-075K1L,SMD RES 5.1K-5%-1/16W;0402,-55°C to 155°C
DNP-3,1,R400,DNP,0R,5%,R1206,301010407,RES,YAGEO,RC1206JR-070RL,SMD RES 0R-5%-1/4W;1206,-55°C to 155°C
DNP-4,2,"R353,R356",DNP,100K,1%,R0402,301010456,RES,YAGEO,RC0402FR-07100KL,SMD RES 100K-1%-1/16W;0402,-55°C to 155°C
DNP-5,1,R37,DNP,100R,1%,R0201,301010524,RES,YAGEO,RC0201FR-07100RL,SMD RES 100R-±1%-1/20W;0201,-55°C to 125°C
DNP-6,3,"R289,R339,R362",DNP,0R,1%,R0201,301010525,RES,YAGEO,RC0201FR-070RL,SMD RES 0R-±1%-1/20W;0201,-55°C to 125°C
DNP-7,28,"R11,R13,R18,R19,R107,R112,R115,R119,R121,R123,R124,R135,R137,R139,R143,R152,R156,R231,R233,R241,R246,R258,R268,R270,R367,R384,R385,R394",DNP,10K,1%,R0201,301010526,RES,YAGEO,RC0201FR-0710KL,SMD RES 10K-±1%-1/20W;0201,-55°C to 125°C
DNP-8,1,R355,DNP,11K,1%,R0402,301010568,RES,YAGEO,RC0402FR-0711KL,SMD RES;11K-1%-1/16W-0402,-55°C to 155°C
DNP-9,3,"R285,R292,R293",DNP,4.7K,1%,R0402,301010633,RES,YAGEO,RC0402FR-074K7L,SMD RES;4.7K-1%-1/16W-0402,-55°C to 155°C
DNP-10,5,"R168,R175,R180,R185,R197",DNP,2.49K,1%,R0402,301010856,RES,YAGEO,RC0402FR-072K49L,SMD RES 2.49K-1%-1/16W;0402,-55°C to 155°C
DNP-11,5,"R167,R170,R179,R184,R196",DNP,5.76K,1%,R0402,301013075,RES,YAGEO,RC0402FR-075K76L,SMD RES 5.76K-1%-1/16W;0402,-55°C to 155°C
DNP-12,12,"C114,C240,C243,C281,C282,C331,C332,C333,C362,C366,C400,C420",DNP,1uF,"10V,X5R",C0402,302010040,Ceramic,YAGEO,CC0402KRX5R6BB105,SMD CAP Ceramic 1uF-10V-10%-X5R;0402,-55°C to 85°C
DNP-13,13,"C102,C104,C107,C376,C391,C395,C403,C411,C423,C424,C425,C448,C450",DNP,470nF,"10V,X5R",C0402,302010232,Ceramic,YAGEO,CC0402KRX5R6BB474,SMD CAP Ceramic 470nF-10V-10%-X5R;0402,-55°C to 85°C
DNP-14,2,"C539,C544",DNP,10nF,"16V,X7R",C0201,302010431,Ceramic,YAGEO,CC0201KRX7R7BB103,SMD CAP Ceramic 10nF-16V-10%-X7R;0201,-55°C to 125°C
